architecture,epoch,train_loss,train_accuracy,val_loss,val_accuracy
mobilenet_v3_small,1,0.1698918571472168,0.93125,0.10334221592971257,0.9620634920634921
mobilenet_v3_small,2,0.06213497168570757,0.97875,0.09436107471289616,0.9695238095238096
mobilenet_v3_small,3,0.04340834094583988,0.98475,0.08355269477244408,0.9733333333333334
resnet18,1,0.14280859842896462,0.94925,0.12486901257423655,0.9603174603174603
resnet18,2,0.08394291697442531,0.969,0.09459177712835963,0.9655555555555555
resnet18,3,0.056186676524579524,0.97975,0.09552943297303355,0.9698412698412698
